"id_cliente","nome_cliente","idade","endereco"
"203","Iris","19","RS"
"204","Elena","19","MA"
"205","Iris","50","CE"
"206","Iris","37","RN"
"207","Alice","40","AP"
"208","Alice","18","DF"
"209","Iris","40","DF"
"210","João","32","AM"
"211","Bruno","50","PB"
"212","Bruno","28","MS"
"213","Elena","21","RS"
"214","Hector","44","AC"
"215","Alice","38","BA"
"216","Felipe","22","AP"
"217","Bruno","36","PB"
"218","Iris","40","PI"
"219","Felipe","35","MT"
"220","Elena","25","PR"
"221","Gloria","39","ES"
"222","Alice","44","AM"
"223","Felipe","41","PA"
"224","Alice","18","RS"
"225","Alice","48","RJ"
"226","Hector","33","MA"
"227","Hector","32","PA"
"228","Felipe","25","CE"
"229","Carla","29","PI"
"230","Elena","37","AM"
"231","Hector","21","MT"
"232","David","50","ES"
"233","Alice","50","CE"
"234","Gloria","23","CE"
"235","Gloria","49","DF"
"236","Iris","48","PI"
"237","João","36","RS"
"238","Alice","37","CE"
"239","Elena","34","MS"
"240","Elena","44","PI"
"241","Elena","40","BA"
"242","David","36","AP"
"243","Carla","46","SP"
"244","Bruno","46","MS"
"245","Carla","23","MT"
"246","João","38","PA"
"247","Gloria","22","MT"
"248","David","27","PB"
"249","Felipe","34","PI"
"250","João","30","MS"
"251","Gloria","20","PA"
"252","Hector","40","AM"
"253","Iris","46","AC"
"254","Carla","30","SP"
"255","Alice","42","MA"
"256","Carla","43","SP"
"257","David","26","PE"
"258","Felipe","38","MA"
"259","Elena","38","PI"
"260","Felipe","37","RJ"
"261","Carla","24","MG"
"262","Elena","41","PR"
"263","Hector","21","PA"
"264","Iris","27","AM"
"265","Iris","41","RN"
"266","David","29","CE"
"267","Felipe","31","MT"
"268","David","47","AP"
"269","Bruno","27","CE"
"270","Carla","50","GO"
"271","Gloria","23","PB"
"272","Carla","30","PE"
"273","Bruno","25","PR"
"274","Elena","49","RN"
"275","Alice","44","MT"
"276","Hector","18","MT"
"277","João","19","MA"
"278","Iris","36","PB"
"279","Felipe","30","RN"
"280","Felipe","21","PB"
"281","Iris","50","MA"
"282","João","36","DF"
"283","Alice","44","SP"
"284","Iris","31","GO"
"285","Bruno","23","GO"
"286","Bruno","32","ES"
"287","Alice","31","DF"
"288","Iris","41","PE"
"289","Carla","40","RJ"
"290","Felipe","36","MG"
"291","Carla","23","PB"
"292","João","26","MG"
"293","Carla","18","CE"
"294","Alice","36","MG"
"295","Felipe","24","AP"
"296","David","45","DF"
"297","Elena","39","MT"
"298","Elena","18","RS"
"299","Hector","41","RJ"
"300","Bruno","44","AP"
"301","Bruno","20","AP"
"302","Felipe","39","RJ"
"303","David","38","MA"
"304","Bruno","25","AM"
"305","Felipe","43","AM"
"306","Carla","20","MA"
"307","Carla","31","PI"
"308","Gloria","24","CE"
"309","Gloria","36","RJ"
"310","Bruno","36","MS"
"311","Felipe","24","PB"
"312","Felipe","28","PE"
"313","Gloria","45","MS"
"314","Felipe","24","AC"
"315","David","40","SP"
"316","Felipe","19","RN"
"317","Elena","20","GO"
"318","Carla","30","AL"
"319","Hector","18","ES"
"320","Carla","42","AP"
"321","Carla","43","DF"
"322","David","40","ES"
"323","Alice","45","DF"
"324","Alice","20","MS"
"325","David","45","RJ"
"326","Iris","49","PR"
"327","Iris","45","SP"
"328","João","45","MG"
"329","Felipe","34","BA"
"330","Bruno","28","MS"
"331","Alice","30","BA"
"332","Iris","26","MA"
"333","Hector","22","ES"
"334","Carla","44","BA"
"335","Felipe","32","CE"
"336","Elena","42","AL"
"337","Iris","41","DF"
"338","Iris","29","RJ"
"339","Bruno","28","PB"
"340","Elena","48","CE"
"341","Hector","28","AP"
"342","Elena","45","SP"
"343","Iris","49","MA"
"344","Elena","27","RN"
"345","Felipe","31","PR"
"346","Carla","46","RS"
"347","Iris","36","DF"
"348","João","38","ES"
"349","Gloria","45","SP"
"350","Felipe","22","PI"
"351","Iris","23","AL"
"352","Gloria","49","AP"
"353","Iris","25","MA"
"354","Bruno","46","AM"
"355","Bruno","32","MS"
"356","Felipe","42","PR"
"357","Iris","24","DF"
"358","Iris","32","RJ"
"359","Elena","23","PB"
"360","Iris","26","RN"
"361","David","19","AM"
"362","Iris","41","SP"
"363","Carla","32","PA"
"364","Felipe","48","RJ"
"365","Elena","27","PI"
"366","Carla","38","DF"
"367","Elena","35","BA"
"368","Felipe","23","RS"
"369","João","19","AP"
"370","Alice","46","PA"
"371","Felipe","41","AL"
"372","Elena","32","BA"
"373","David","30","CE"
"374","João","28","MT"
"375","Gloria","46","AC"
"376","João","25","MT"
"377","Elena","34","AM"
"378","Iris","22","AP"
"379","Bruno","34","AP"
"380","Gloria","22","PI"
"381","Alice","34","ES"
"382","Alice","18","DF"
"383","Iris","50","BA"
"384","João","50","PB"
"385","Bruno","26","RN"
"386","Carla","20","MT"
"387","Alice","24","AP"
"388","Carla","26","PI"
"389","Alice","34","RN"
"390","David","19","AP"
"391","Hector","38","BA"
"392","Alice","21","MG"
"393","Bruno","45","PA"
"394","Elena","31","RS"
"395","Hector","32","RS"
"396","Iris","45","GO"
"397","Carla","28","RN"
"398","Gloria","25","PA"
"399","João","26","PI"
"400","Alice","20","SP"
"401","Carla","35","PE"
"402","Elena","50","AL"
"403","Iris","45","PA"
"404","Carla","41","MT"
"405","Gloria","35","PE"
"406","Bruno","42","ES"
"407","Felipe","21","PA"
"408","Carla","22","AP"
"409","Bruno","45","PI"
"410","Felipe","49","CE"
"411","Elena","50","PB"
"412","João","37","MT"
"413","Alice","29","ES"
"414","David","21","PI"
"415","Elena","19","MG"
"416","Bruno","21","AP"
"417","Carla","27","PR"
"418","Hector","35","PA"
"419","Elena","34","DF"
"420","João","46","RJ"
"421","Iris","18","AM"
"422","João","36","BA"
"423","Bruno","33","MS"
"424","Bruno","41","MT"
"425","David","47","RS"
"426","Gloria","48","RS"
"427","David","24","AP"
"428","Gloria","48","AM"
"429","João","30","CE"
"430","Bruno","23","BA"
"431","Felipe","46","ES"
"432","Iris","21","PE"
"433","Carla","45","AM"
"434","Alice","19","RJ"
"435","Felipe","48","MG"
"436","Felipe","46","MG"
"437","Elena","24","RJ"
"438","João","43","RS"
"439","Felipe","26","AL"
"440","Gloria","31","GO"
"441","Alice","25","MA"
"442","Elena","36","ES"
"443","Elena","26","MT"
"444","Elena","37","RJ"
"445","João","19","CE"
"446","Alice","34","PB"
"447","Bruno","48","MA"
"448","Elena","44","PE"
"449","Hector","37","PA"
"450","Elena","44","PA"
"451","Bruno","43","PB"
"452","David","26","SP"
"453","Iris","18","PB"
"454","Hector","46","AL"
"455","Gloria","43","RJ"
"456","David","28","BA"
"457","Felipe","45","SP"
"458","Carla","37","PA"
"459","David","26","DF"
"460","Hector","31","AM"
"461","David","22","DF"
"462","Gloria","47","PE"
"463","David","49","PB"
"464","Carla","18","MT"
"465","David","21","RJ"
"466","Carla","21","GO"
"467","Elena","35","AP"
"468","Alice","36","PR"
"469","Felipe","49","SP"
"470","Gloria","22","PI"
"471","Hector","30","ES"
"472","Hector","44","AL"
"473","Alice","19","AC"
"474","Carla","39","PI"
"475","Bruno","28","SP"
"476","Carla","21","SP"
"477","Hector","42","DF"
"478","Bruno","27","SP"
"479","Felipe","36","PI"
"480","David","48","PA"
"481","David","45","MT"
"482","Carla","48","AP"
"483","Elena","38","PI"
"484","Gloria","33","RN"
"485","Carla","46","AP"
"486","David","44","PI"
"487","Elena","21","DF"
"488","Felipe","32","MA"
"489","Bruno","26","AM"
"490","Alice","27","AC"
"491","Iris","19","MT"
"492","David","46","MG"
"493","Gloria","33","MA"
"494","Iris","23","ES"
"495","Gloria","40","AL"
"496","David","50","SP"
"497","João","26","PI"
"498","Felipe","30","PB"
"499","João","47","AC"
"500","Gloria","46","PA"
"501","Iris","19","MT"
"502","Elena","27","AM"
"503","Elena","36","RN"
"504","Carla","25","MT"
"505","Elena","27","SP"
"506","Bruno","18","AL"
"507","David","26","AP"
"508","Gloria","31","DF"
"509","Carla","33","MA"
"510","João","42","GO"
"511","Bruno","37","RS"
"512","David","35","MG"
"513","Carla","44","CE"
"514","Gloria","29","PE"
"515","Alice","21","SP"
"516","Bruno","44","PA"
"517","David","28","AL"
"518","Alice","41","AC"
"519","David","32","SP"
"520","Iris","25","BA"
"521","João","30","RN"
"522","Hector","37","PI"
"523","Felipe","30","MA"
"524","Elena","34","MT"
"525","Carla","44","PB"
"526","David","28","MS"
"527","Gloria","43","MA"
"528","Alice","18","MG"
"529","Carla","28","CE"
"530","Alice","27","AC"
"531","David","36","RS"
"532","Alice","40","PI"
"533","Elena","19","BA"
"534","Hector","46","AP"
"535","Alice","35","AM"
"536","João","50","CE"
"537","Elena","46","AP"
"538","David","40","MA"
"539","Carla","26","MG"
"540","Bruno","18","MS"
"541","Hector","40","MS"
"542","Hector","33","RS"
"543","Iris","48","AC"
"544","João","32","RN"
"545","Alice","42","CE"
"546","David","24","PE"
"547","Hector","48","MT"
"548","Hector","40","PA"
"549","David","25","AL"
"550","Gloria","49","PA"
"551","João","42","MA"
"552","Gloria","47","ES"
"553","Bruno","38","PB"
"554","David","41","RJ"
"555","Bruno","21","RJ"
"556","Elena","28","MG"
"557","Elena","37","RS"
"558","Bruno","27","PA"
"559","Alice","36","GO"
"560","Elena","45","PB"
"561","Bruno","28","PI"
"562","Carla","48","PB"
"563","João","43","PB"
"564","Elena","33","MG"
"565","João","30","MG"
"566","Iris","20","AM"
"567","David","45","PR"
"568","Carla","48","MA"
"569","Elena","35","CE"
"570","Felipe","29","BA"
"571","David","44","ES"
"572","Bruno","20","MS"
"573","Hector","27","RN"
"574","Gloria","49","PE"
"575","Bruno","50","SP"
"576","Alice","35","RN"
"577","João","22","AM"
"578","Bruno","44","RN"
"579","Iris","34","GO"
"580","Iris","45","RS"
"581","Alice","23","RN"
"582","Iris","20","RJ"
"583","Gloria","20","MS"
"584","Carla","40","PE"
"585","Felipe","24","GO"
"586","David","22","AM"
"587","Alice","29","PI"
"588","Iris","40","RN"
"589","Elena","22","AP"
"590","Elena","50","AL"
"591","Bruno","45","SP"
"592","Alice","45","RN"
"593","Hector","37","BA"
"594","Gloria","19","GO"
"595","Felipe","40","PB"
"596","Felipe","22","MA"
"597","Iris","45","AM"
"598","Iris","20","AL"
"599","Elena","27","SP"
"600","Bruno","31","PI"
"601","Elena","36","PB"
"602","Iris","39","PI"
"603","Bruno","28","RN"
"604","Bruno","30","MA"
"605","João","42","PB"
"606","Bruno","39","PE"
"607","Carla","39","AM"
"608","Iris","25","RJ"
"609","Elena","25","AC"
"610","Alice","33","MA"
"611","Elena","29","RS"
"612","Alice","50","PI"
"613","Gloria","20","GO"
"614","Alice","38","RS"
"615","Felipe","23","MG"
"616","João","29","RS"
"617","Elena","32","ES"
"618","Bruno","18","MS"
"619","João","18","RS"
"620","Gloria","44","MG"
"621","João","34","PB"
"622","Bruno","35","AM"
"623","Gloria","24","CE"
"624","David","29","PA"
"625","João","25","AM"
"626","David","21","PE"
"627","Elena","50","SP"
"628","Elena","30","RN"
"629","Felipe","18","BA"
"630","David","44","PR"
"631","Felipe","32","PI"
"632","David","38","RS"
"633","David","36","BA"
"634","David","24","AM"
"635","David","44","RS"
"636","Carla","37","AC"
"637","Alice","40","AM"
"638","Elena","33","BA"
"639","David","28","BA"
"640","Gloria","24","CE"
"641","Alice","45","MG"
"642","João","36","AC"
"643","Hector","45","BA"
"644","David","46","MG"
"645","David","41","PB"
"646","Bruno","33","MA"
"647","Hector","31","AP"
"648","Gloria","44","MT"
"649","Carla","29","AC"
"650","Gloria","28","MS"
"651","Felipe","44","RJ"
"652","Gloria","50","CE"
"653","Gloria","48","RS"
"654","Hector","45","AL"
"655","Gloria","45","AP"
"656","Felipe","20","SP"
"657","David","28","DF"
"658","Gloria","23","BA"
"659","Bruno","18","GO"
"660","João","42","RJ"
"661","David","46","MS"
"662","João","48","PR"
"663","João","50","MA"
"664","David","40","CE"
"665","Iris","19","MS"
"666","Iris","48","MS"
"667","João","27","SP"
"668","Alice","36","PA"
"669","Carla","22","CE"
"670","Alice","22","MA"
"671","Hector","35","AC"
"672","Iris","36","AL"
"673","Felipe","50","PI"
"674","Iris","40","AC"
"675","Alice","25","AP"
"676","Iris","21","MS"
"677","Gloria","46","SP"
"678","Carla","24","DF"
"679","João","41","SP"
"680","David","19","SP"
"681","Bruno","23","AM"
"682","João","42","MS"
"683","Gloria","37","MG"
"684","Iris","47","MA"
"685","Bruno","42","PI"
"686","Iris","43","DF"
"687","Felipe","44","RS"
"688","Gloria","31","AP"
"689","Bruno","31","MA"
"690","Gloria","40","AP"
"691","Hector","20","AP"
"692","Carla","30","MA"
"693","Hector","23","PE"
"694","Alice","35","DF"
"695","João","38","RN"
"696","Bruno","42","RJ"
"697","Hector","21","RS"
"698","Carla","20","PR"
"699","Iris","37","AM"
"700","Hector","21","AP"
"701","David","19","BA"
"702","João","30","PR"
"703","Elena","50","CE"
"704","David","42","BA"
"705","David","42","DF"
"706","Elena","24","DF"
"707","Carla","26","MT"
"708","Gloria","37","SP"
"709","João","43","PA"
"710","David","24","MA"
"711","Hector","35","MG"
"712","João","44","RS"
"713","Bruno","48","RJ"
"714","Bruno","29","SP"
"715","Elena","48","MG"
"716","Hector","44","PE"
"717","David","48","PR"
"718","Hector","49","PE"
"719","Carla","43","AP"
"720","Hector","45","MG"
"721","Hector","44","MS"
"722","João","29","AP"
"723","João","31","SP"
"724","Hector","36","AC"
"725","Carla","38","PB"
"726","Iris","37","CE"
"727","Iris","32","RJ"
"728","Gloria","30","PB"
"729","Elena","22","PI"
"730","Iris","41","BA"
"731","Elena","39","PA"
"732","Hector","40","AC"
"733","Felipe","26","GO"
"734","Gloria","28","CE"
"735","João","36","ES"
"736","Elena","44","RJ"
"737","Felipe","18","MA"
"738","Elena","29","SP"
"739","Hector","25","PB"
"740","Gloria","39","RS"
"741","Felipe","26","PI"
"742","Bruno","26","ES"
"743","João","20","PR"
"744","João","38","SP"
"745","Iris","39","ES"
"746","Carla","28","AC"
"747","Elena","24","RJ"
"748","Gloria","34","SP"
"749","Gloria","31","CE"
"750","Carla","34","MA"
"751","David","20","MT"
"752","David","34","AP"
"753","João","34","PE"
"754","Gloria","32","MT"
"755","David","26","ES"
"756","Alice","19","MS"
"757","Hector","47","AP"
"758","Carla","45","DF"
"759","David","50","BA"
"760","Bruno","32","SP"
"761","Elena","44","DF"
"762","Elena","48","AC"
"763","Bruno","37","SP"
"764","João","33","RN"
"765","Hector","32","ES"
"766","João","25","MA"
"767","David","36","PR"
"768","João","45","PE"
"769","Gloria","47","MS"
"770","Gloria","30","AL"
"771","Alice","20","AL"
"772","Elena","50","AC"
"773","Hector","40","BA"
"774","Felipe","36","MT"
"775","Elena","26","RS"
"776","Hector","25","MG"
"777","Felipe","21","PI"
"778","Hector","34","RJ"
"779","Iris","30","RS"
"780","João","49","AP"
"781","David","39","PR"
"782","Carla","18","RJ"
"783","Hector","36","AP"
"784","David","19","BA"
"785","João","35","RN"
"786","Gloria","20","AL"
"787","Elena","43","DF"
"788","Hector","46","CE"
"789","David","39","PE"
"790","Carla","20","ES"
"791","Bruno","24","PB"
"792","João","32","GO"
"793","Hector","25","AC"
"794","Bruno","46","MT"
"795","Alice","22","PA"
"796","David","30","GO"
"797","Bruno","43","GO"
"798","Felipe","28","RS"
"799","João","50","AC"
"800","Elena","21","PB"
"801","Felipe","41","PR"
"802","João","43","RJ"
"803","Gloria","50","PI"
"804","Alice","41","MS"
"805","Hector","20","PR"
"806","Bruno","30","BA"
"807","David","27","CE"
"808","Felipe","25","PB"
"809","Felipe","23","RS"
"810","Alice","44","MG"
"811","Iris","41","MS"
"812","David","46","PA"
"813","Gloria","34","AP"
"814","João","43","SP"
"815","João","40","ES"
"816","Gloria","45","AM"
"817","Carla","47","DF"
"818","Elena","30","PB"
"819","João","42","SP"
"820","Elena","37","RS"
"821","Carla","22","MG"
"822","Felipe","33","RJ"
"823","Felipe","18","MA"
"824","Carla","34","PE"
"825","David","34","MA"
"826","Felipe","46","RJ"
"827","Gloria","37","AM"
"828","Carla","39","DF"
"829","Gloria","25","PA"
"830","Felipe","43","SP"
"831","David","32","PE"
"832","Felipe","20","AP"
"833","Hector","21","BA"
"834","Iris","45","PA"
"835","João","24","MS"
"836","David","41","AP"
"837","David","36","MG"
"838","Elena","33","BA"
"839","Hector","50","PI"
"840","Elena","24","PI"
"841","Carla","27","RN"
"842","David","20","AP"
"843","Hector","25","MS"
"844","Felipe","37","MA"
"845","Felipe","26","RS"
"846","João","41","PI"
"847","Gloria","20","AL"
"848","João","49","PR"
"849","Gloria","30","SP"
"850","Hector","36","BA"
"851","João","50","AL"
"852","João","21","BA"
"853","João","22","RS"
"854","Iris","25","MT"
"855","João","36","RN"
"856","João","28","MA"
"857","Felipe","47","MG"
"858","Gloria","18","AC"
"859","Hector","35","AL"
"860","Felipe","23","GO"
"861","Alice","43","AL"
"862","Elena","45","AM"
"863","João","36","AL"
"864","João","46","PR"
"865","David","41","MS"
"866","David","45","DF"
"867","Gloria","35","RJ"
"868","Alice","19","AL"
"869","Gloria","18","AM"
"870","Felipe","22","CE"
"871","Bruno","49","BA"
"872","Elena","40","RJ"
"873","Elena","49","PB"
"874","João","23","DF"
"875","Hector","34","ES"
"876","Gloria","48","RJ"
"877","Elena","44","SP"
"878","Hector","27","PI"
"879","Elena","50","MG"
"880","Elena","35","MA"
"881","Elena","48","MG"
"882","David","18","MT"
"883","Carla","27","MA"
"884","Hector","18","AM"
"885","Carla","27","PE"
"886","Iris","37","AP"
"887","João","32","MS"
"888","Iris","44","AM"
"889","João","24","MT"
"890","Alice","36","BA"
"891","Felipe","44","RS"
"892","Iris","19","PB"
"893","Carla","20","RJ"
"894","David","44","MS"
"895","David","29","GO"
"896","Elena","30","RS"
"897","Hector","19","PI"
"898","João","18","PE"
"899","Carla","38","AM"
"900","Hector","47","GO"
"901","Elena","27","BA"
"902","Alice","41","DF"
"903","David","25","SP"
"904","Carla","45","ES"
"905","Elena","32","AL"
"906","João","41","PB"
"907","Bruno","27","BA"
"908","Hector","36","MS"
"909","Elena","39","RJ"
"910","Iris","44","GO"
"911","David","31","CE"
"912","Iris","38","AL"
"913","Carla","40","MG"
"914","Hector","35","MT"
"915","Hector","42","PR"
"916","Elena","34","PE"
"917","João","47","DF"
"918","Elena","44","RS"
"919","Hector","44","PB"
"920","João","19","PE"
"921","Alice","29","MS"
"922","Carla","33","PB"
"923","Gloria","50","RJ"
"924","Gloria","33","PR"
"925","Bruno","19","BA"
"926","Felipe","21","PB"
"927","Elena","26","MS"
"928","Bruno","40","RS"
"929","Hector","48","AM"
"930","David","37","MS"
"931","Bruno","36","BA"
"932","Elena","40","PB"
"933","Iris","50","GO"
"934","Elena","26","MG"
"935","Carla","34","RN"
"936","Bruno","24","AP"
"937","João","48","CE"
"938","João","50","AL"
"939","Hector","50","PR"
"940","Bruno","34","AL"
"941","Gloria","48","PR"
"942","Felipe","35","PA"
"943","Elena","30","PI"
"944","Carla","48","AL"
"945","Iris","36","AP"
"946","Felipe","27","PA"
"947","Elena","27","PA"
"948","Iris","38","MA"
"949","Elena","26","CE"
"950","David","38","RJ"
"951","Felipe","42","RJ"
"952","Carla","34","RS"
"953","João","34","AP"
"954","Iris","32","MT"
"955","Hector","26","MG"
"956","David","41","BA"
"957","João","40","ES"
"958","Elena","27","DF"
"959","Gloria","27","PE"
"960","Hector","20","AL"
"961","Felipe","22","SP"
"962","Hector","49","RJ"
"963","Gloria","30","RS"
"964","Hector","21","AP"
"965","Carla","34","PI"
"966","Carla","43","MS"
"967","Carla","21","DF"
"968","Elena","39","PA"
"969","Hector","42","PE"
"970","João","28","AL"
"971","Bruno","30","RS"
"972","Elena","46","MS"
"973","Elena","25","BA"
"974","Carla","29","SP"
"975","Carla","41","PR"
"976","Gloria","35","BA"
"977","David","24","RS"
"978","Bruno","41","RN"
"979","David","27","ES"
"980","David","50","RJ"
"981","David","48","ES"
"982","Bruno","44","RS"
"983","Bruno","24","PA"
"984","João","34","PE"
"985","Carla","48","BA"
"986","Bruno","35","RJ"
"987","David","43","MS"
"988","Carla","32","PI"
"989","Gloria","50","RN"
"990","Iris","25","MA"
"991","João","29","BA"
"992","Carla","27","AC"
"993","Alice","50","MG"
"994","João","41","MT"
"995","David","37","BA"
"996","Gloria","44","PB"
"997","Bruno","28","MS"
"998","Hector","34","PB"
"999","Hector","47","DF"
"1000","Felipe","26","MS"
"1001","Hector","43","SP"
"1002","David","28","MT"
"1003","David","21","PB"
"1004","Elena","19","PA"
"1005","Bruno","44","RS"
"1006","Bruno","41","AL"
"1007","Iris","38","PA"
"1008","Felipe","35","BA"
"1009","David","32","GO"
"1010","Alice","49","SP"
"1011","João","28","DF"
"1012","Hector","37","PR"
"1013","Felipe","25","MS"
"1014","David","42","PB"
"1015","David","28","MA"
"1016","Iris","24","RN"
"1017","Iris","44","DF"
"1018","Iris","36","DF"
"1019","Gloria","47","GO"
"1020","Elena","27","RS"
"1021","Bruno","41","SP"
"1022","Alice","31","RJ"
"1023","Carla","48","RJ"
"1024","Alice","22","DF"
"1025","Hector","35","GO"
"1026","João","32","RJ"
"1027","Bruno","37","PI"
"1028","Elena","41","PA"
"1029","João","37","PE"
"1030","Carla","38","PA"
"1031","Felipe","30","MG"
"1032","Gloria","50","PE"
"1033","Bruno","48","BA"
"1034","Elena","30","RJ"
"1035","David","35","CE"
"1036","Carla","34","SP"
"1037","Carla","50","RN"
"1038","Iris","29","AC"
"1039","Felipe","49","RJ"
"1040","Iris","22","PB"
"1041","Felipe","27","RS"
"1042","Alice","26","AL"
"1043","Carla","46","AL"
"1044","Felipe","35","AC"
"1045","Carla","22","PB"
"1046","Carla","47","GO"
"1047","Iris","42","AC"
"1048","Bruno","19","CE"
"1049","Iris","30","AL"
"1050","Gloria","36","DF"
"1051","Elena","35","SP"
"1052","Carla","36","RJ"
"1053","Elena","23","SP"
"1054","Bruno","47","AM"
"1055","Carla","19","CE"
"1056","Felipe","36","PR"
"1057","João","42","PA"
"1058","Elena","19","BA"
"1059","Iris","40","RN"
"1060","Carla","28","RS"
"1061","Alice","19","ES"
"1062","Alice","31","DF"
"1063","Felipe","24","AM"
"1064","Alice","29","PE"
"1065","Carla","20","PE"
"1066","Bruno","50","PB"
"1067","Bruno","45","PE"
"1068","Elena","26","ES"
"1069","David","49","AC"
"1070","Elena","43","PE"
"1071","Alice","18","AM"
"1072","Iris","19","RJ"
"1073","David","30","AM"
"1074","Carla","23","ES"
"1075","Bruno","42","DF"
"1076","Elena","34","BA"
"1077","Elena","37","GO"
